sample-id	group
#q2:types	categorical	
47-5m	a
47-25m	a
47-50m	a
47-62m	a
47-100m	a
47-150m	a
47-200m	a
47-300m	a
47-500m	a
47-800m	a
47-900m	a
49-2m	b
49-25m	b
49-52m	b
49-72m	b
49-100m	b
49-150m	b
49-200m	b
49-300m	b
49-500m	b
49-800m	b
49-1000m	b
51-5m	c
51-25m	c
51-40m	c
51-75m	c
51-100m	c
51-150m	c
51-200m	c
51-300m	c
51-500m	c
52-5m	d
52-25m	d
52-32m	d
52-75m	d
52-100m	d
52-150m	d
52-200m	d
52-300m	d
52-500m	d
52-800m	d
52-1000m	d
52-1500m	d
54-2m	e
54-25m	e
54-54m	e
54-75m	e
54-100m	e
54-150m	e
54-200m	e
54-300m	e
54-500m	e
54-800m	e
54-1000m	e
54-1500m	e
56-2m	f
56-25m	f
56-50m	f
56-75m	f
56-100m	f
56-150m	f
56-200m	f
56-500m	f
56-800m	f
56-1000m	f
56-1500m	f
59-5m	g
59-15m	g
59-26m	g
59-50m	g
59-100m	g
59-150m	g
59-200m	g
59-300m	g
59-500m	g
59-800m	g
59-1000m	g
59-1500m	g
61-5m	h
61-25m	h
61-42m	h
61-75m	h
61-100m	h
61-150m	h
61-200m	h
61-300m	h
61-500m	h
61-800m	h
61-1000m	h
61-1500m	h
64-2m	i
64-30m	i
64-50m	i
64-75m	i
64-100m	i
64-150m	i
64-200m	i
64-300m	i
64-500m	i
64-800m	i
64-1000m	i
64-1500m	i
66-2m	j
66-25m	j
66-45m	j
66-75m	j
66-100m	j
66-150m	j
66-200m	j
66-300m	j
66-500m	j
66-800m	j
68-5m	k
68-15m	k
68-30m	k
68-50m	k
68-100m	k
68-150m	k
68-200m	k
68-300m	k
68-500m	k
68-800m	k
68-1000m	k
68-1500m	k
71-5m	l
71-25m	l
71-50m	l
71-71m	l
71-100m	l
71-150m	l
71-200m	l
71-300m	l
71-500m	l
71-800m	l
71-1000m	l
71-1500m	l
73-5m	E
73-25m	E
73-50m	E
73-72m	E
73-100m	E
73-150m	E
73-200m	E
73-300m	E
73-500m	E
73-800m	E
73-1000m	E
73-1500m	E
75-5m	m
75-25m	m
75-50m	m
75-71m	m
75-100m	m
75-150m	m
75-200m	m
75-300m	m
75-500m	m
75-800m	m
75-1000m	m
75-1500m	m
76-2m	n
76-25m	n
76-50m	n
76-75m	n
76-100m	n
76-150m	n
76-200m	n
